Data,Investimento,Cliques,Visualizações,Leads,Conversas,Reuniões,Checkouts,Vendas,Receita,Ticket Médio,Perfil Cliques,Seguidores,Mensagens
01/01/2025,500,0,0,0,0,0,0,8,4800,600,1250,85,850
02/01/2025,620,0,0,0,0,0,0,12,7200,600,1480,92,995
03/01/2025,450,0,0,0,0,0,0,6,3600,600,1125,78,758
04/01/2025,750,0,0,0,0,0,0,15,9000,600,1875,125,1265
05/01/2025,680,0,0,0,0,0,0,11,6600,600,1632,98,1100
06/01/2025,590,0,0,0,0,0,0,9,5400,600,1416,89,955
07/01/2025,720,0,0,0,0,0,0,13,7800,600,1800,112,1215
08/01/2025,480,0,0,0,0,0,0,7,4200,600,1200,72,810
09/01/2025,650,0,0,0,0,0,0,10,6000,600,1560,94,1052
10/01/2025,580,0,0,0,0,0,0,8,4800,600,1392,87,938
11/01/2025,700,0,0,0,0,0,0,12,7200,600,1680,105,1134
12/01/2025,530,0,0,0,0,0,0,8,4800,600,1272,79,858
13/01/2025,620,0,0,0,0,0,0,11,6600,600,1488,93,1003
14/01/2025,690,0,0,0,0,0,0,13,7800,600,1656,104,1117
15/01/2025,460,0,0,0,0,0,0,6,3600,600,1104,69,745
16/01/2025,780,0,0,0,0,0,0,14,8400,600,1872,117,1262
17/01/2025,540,0,0,0,0,0,0,9,5400,600,1296,81,874
18/01/2025,610,0,0,0,0,0,0,10,6000,600,1464,88,987
19/01/2025,720,0,0,0,0,0,0,12,7200,600,1728,108,1166
20/01/2025,490,0,0,0,0,0,0,7,4200,600,1176,74,793
21/01/2025,660,0,0,0,0,0,0,11,6600,600,1584,99,1068
22/01/2025,580,0,0,0,0,0,0,9,5400,600,1392,87,938
23/01/2025,750,0,0,0,0,0,0,13,7800,600,1800,113,1215
24/01/2025,520,0,0,0,0,0,0,8,4800,600,1248,78,842
25/01/2025,640,0,0,0,0,0,0,11,6600,600,1536,96,1036
26/01/2025,700,0,0,0,0,0,0,12,7200,600,1680,105,1134
27/01/2025,480,0,0,0,0,0,0,6,3600,600,1152,72,777
28/01/2025,690,0,0,0,0,0,0,12,7200,600,1656,104,1117
29/01/2025,560,0,0,0,0,0,0,9,5400,600,1344,84,907
30/01/2025,780,0,0,0,0,0,0,14,8400,600,1872,117,1262
