Data,Investimento,Cliques,Visualizações,Leads,Conversas,Reuniões,Checkouts,Vendas,Receita,Ticket Médio,Perfil Cliques,Seguidores,Mensagens
01/01/2025,500,1250,850,85,42,15,35,8,4800,600,0,0,0
02/01/2025,620,1480,995,92,48,18,42,12,7200,600,0,0,0
03/01/2025,450,1125,758,78,35,12,28,6,3600,600,0,0,0
04/01/2025,750,1875,1265,125,65,22,58,15,9000,600,0,0,0
05/01/2025,680,1632,1100,98,52,18,48,11,6600,600,0,0,0
06/01/2025,590,1416,955,89,44,16,38,9,5400,600,0,0,0
07/01/2025,720,1800,1215,112,58,20,52,13,7800,600,0,0,0
08/01/2025,480,1200,810,72,38,13,32,7,4200,600,0,0,0
09/01/2025,650,1560,1052,94,49,17,45,10,6000,600,0,0,0
10/01/2025,580,1392,938,87,43,15,38,8,4800,600,0,0,0
11/01/2025,700,1680,1134,105,55,19,48,12,7200,600,0,0,0
12/01/2025,530,1272,858,79,41,14,35,8,4800,600,0,0,0
13/01/2025,620,1488,1003,93,47,16,42,11,6600,600,0,0,0
14/01/2025,690,1656,1117,104,54,19,48,13,7800,600,0,0,0
15/01/2025,460,1104,745,69,35,12,28,6,3600,600,0,0,0
16/01/2025,780,1872,1262,117,61,21,55,14,8400,600,0,0,0
17/01/2025,540,1296,874,81,42,14,38,9,5400,600,0,0,0
18/01/2025,610,1464,987,88,46,16,42,10,6000,600,0,0,0
19/01/2025,720,1728,1166,108,56,19,52,12,7200,600,0,0,0
20/01/2025,490,1176,793,74,38,13,32,7,4200,600,0,0,0
21/01/2025,660,1584,1068,99,51,17,45,11,6600,600,0,0,0
22/01/2025,580,1392,938,87,45,15,38,9,5400,600,0,0,0
23/01/2025,750,1800,1215,113,58,20,52,13,7800,600,0,0,0
24/01/2025,520,1248,842,78,40,14,35,8,4800,600,0,0,0
25/01/2025,640,1536,1036,96,50,17,45,11,6600,600,0,0,0
26/01/2025,700,1680,1134,105,54,19,48,12,7200,600,0,0,0
27/01/2025,480,1152,777,72,37,13,32,6,3600,600,0,0,0
28/01/2025,690,1656,1117,104,53,18,48,12,7200,600,0,0,0
29/01/2025,560,1344,907,84,43,15,38,9,5400,600,0,0,0
30/01/2025,780,1872,1262,117,60,21,55,14,8400,600,0,0,0
